422,Tony Armas
423,Charlie Armbruster
424,Ed Armbrister
425,Harry Armbruster
426,Orville Armbrust
427,Bill Armour
428,Robert Armstrong
429,George Armstrong
430,Howard Armstrong
431,Jack Armstrong
432,Mike Armstrong
433,Harry Arndt
434,Larry Arndt
435,Billy Arnold
436,Chris Arnold
437,Jamie Arnold
438,Scott Arnold
439,Tony Arnold
440,Morrie Arnovich
441,Brad Arnsberg
442,Orie Arntzen
443,Rene Arocha
444,Jose Arredondo
445,Jake Arrieta
446,Gerry Arrigo
447,Rolando Arrojo
448,Bronson Arroyo
449,Fernando Arroyo
450,Luis Arroyo
451,Rudy Arroyo
452,Erisbel Arruebarrena
453,Harry Arundel
454,Tug Arundel
455,Randy Asadoor
456,Jim Asbell
457,Casper Asbjornson
458,Jose Ascanio
459,Cody Asche
460,Miguel Asencio
461,Richie Ashburn
462,Alan Ashby
463,Andy Ashby
464,Tucker Ashford
465,Ken Ash
466,Billy Ashley
467,Tom Asmussen
468,Bob Aspromonte
469,Ken Aspromonte
470,Brian Asselstine
471,Paul Assenmacher
472,Ezequiel Astacio
473,Pedro Astacio
474,Joe Astroth
475,Scott Atchison
476,Justin Atchley
477,Charlie Atherton
478,Keith Atherton
479,Luis Atilano
480,Al Atkinson
481,Bill Atkinson
482,Ed Atkinson
483,Garrett Atkins
484,James Atkins
485,Lefty Atkinson
486,Mitch Atkins
487,Tommy Atkins
488,Dick Attreau
489,Toby Atwell
490,Bill Atwood
491,John Atz
492,Chub Aubrey
493,Michael Aubrey
494,Derek Aucoin
495,Rich Aude
496,Rick Auerbach
497,Bryan Augenstein
498,Dave Augustine
499,Don August
500,Jerry Augustine
501,Elden Auker
502,Tex Aulds
503,Doug Ault
504,Phillippe Aumont
505,Rich Aurilia
506,Joe Ausanio
507,Brad Ausmus
508,Dennis Aust
509,Henry Austin
510,Jeff Austin
511,Jimmy Austin
512,Jim Austin
513,Rick Austin
514,Al Autry
515,Chick Autry
516,Chick Autry
517,Bruce Aven
518,Earl Averill
519,Earl Averill
520,Steve Avery
521,Xavier Avery
522,Alex Avila
523,Bobby Avila
524,Luis Avilan
525,Mike Aviles
526,Ramon Aviles
527,Jay Avrea
528,Dylan Axelrod
529,John Axford
530,Benny Ayala
531,Bobby Ayala
532,Luis Ayala
533,Erick Aybar
534,Manny Aybar
535,Willy Aybar
536,Jake Aydelott
537,Bill Ayers
538,Doc Ayers
539,Dick Aylward
540,Bob Ayrault
541,Joe Ayrault
542,Joe Azcue
543,Oscar Azocar
544,Charlie Babb
545,Bob Babcock
546,Loren Babe
547,Johnny Babich
548,Charlie Babington
549,Shooty Babitt
550,Brandon Backe
551,Les Backman
552,Wally Backman
553,Eddie Bacon
554,Mike Bacsik
555,Mike Bacsik
556,Fred Baczewski
557,Burke Badenhop
558,Art Bader
559,King Bader
560,Red Badgro
561,Ed Baecht
562,Cha-Seung Baek
563,Carlos Baerga
564,Benito Baez
565,Danys Baez
566,Javier Baez
567,Jose Baez
568,Kevin Baez
569,Pedro Baez
570,Jim Bagby
571,Jim Bagby
572,Bill Bagwell
573,Jeff Bagwell
574,Stan Bahnsen
575,Ed Bahr
576,Frank Bahret
577,Grover Baichley
578,Andrew Bailey
579,Bill Bailey
580,Bill Bailey
581,Bob Bailey
582,Cory Bailey
583,Ed Bailey
584,Fred Bailey
585,Gene Bailey
586,Harvey Bailey
587,Howard Bailey
588,Homer Bailey
589,Jeff Bailey
590,Jim Bailey
591,King Bailey
592,Mark Bailey
593,Roger Bailey
594,Scott Bailes
595,Steve Bailey
596,Sweetbread Bailey
597,Bob Bailor
598,Harold Baines
599,Loren Bain
600,Al Baird
601,Bob Baird
602,Doug Baird
603,Doug Bair
604,Jeff Baisley
605,Jeff Bajenaru
606,Jersey Bakley
607,Dave Bakenhaster
608,Al Baker
609,Bill Baker
610,Bock Baker
611,Charlie Baker
612,Chuck Baker
613,Dave Baker
614,Del Baker
615,Doug Baker
616,Dusty Baker
617,Ernie Baker
618,Floyd Baker
619,Home Run Baker
620,Frank Baker
621,Frank Baker
622,George Baker
623,Gene Baker
624,Howard Baker
625,Jack Baker
626,Jesse Baker
627,Jesse Baker
628,Jeff Baker
629,John Baker
630,Kirtley Baker
631,Neal Baker
632,Norm Baker
633,Phil Baker
634,Scott Baker
635,Scott Baker
636,Steve Baker
637,Tom Baker
638,Tom Baker
639,Tracy Baker
640,Paul Bako
641,Mike Balas
642,John Balaz
643,Steve Balboni
644,Bobby Balcena
645,Rocco Baldelli
646,Jack Baldschun
647,Billy Baldwin
648,Dave Baldwin
649,Frank Baldwin
650,Harry Baldwin
651,Henry Baldwin
652,James Baldwin
653,Jeff Baldwin
654,Kid Baldwin
655,Lady Baldwin
656,Mark Baldwin
657,Orson Baldwin
658,Reggie Baldwin
659,Rick Baldwin
660,John Bale
